12:22:05.115 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.stopping.service.impl.BatchDataServiceImplTest], using SpringBootContextLoader
12:22:05.129 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.stopping.service.impl.BatchDataServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
12:22:05.130 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.stopping.service.impl.BatchDataServiceImplTest]: BatchDataServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
12:22:05.519 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.stopping.ExcelToDBApplication for test class com.stopping.service.impl.BatchDataServiceImplTest
12:22:05.661 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
12:22:05.682 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@dc9876b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2f666ebb, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@19976a65, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@a1f72f5, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4b2c5e02, org.springframework.test.context.support.DirtiesContextTestExecutionListener@57a3e26a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@75c56eb9, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4bc222e, org.springframework.test.context.event.EventPublishingTestExecutionListener@2dc9b0f5, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6531a794, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3b5fad2d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5e17553a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3eb91815, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@56dc1551, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@102cec62]
12:22:06.135 [main] INFO  c.s.s.impl.BatchDataServiceImplTest - Starting BatchDataServiceImplTest using Java 1.8.0_321 on DESKTOP-QGOJFOS with PID 1312 (started by Administrator in D:\code\excel-to-database)
12:22:06.137 [main] INFO  c.s.s.impl.BatchDataServiceImplTest - No active profile set, falling back to default profiles: default
12:22:11.827 [main] INFO  c.s.s.impl.BatchDataServiceImplTest - Started BatchDataServiceImplTest in 6.099 seconds (JVM running for 8.658)
12:22:12.282 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
12:22:14.550 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
